reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.01,49.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.025,54.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.05,59.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.1,64.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.15,68.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.2,71.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.25,74.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.3,76.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.35,79.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.4,81.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.45,83.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.5,85.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.55,88.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.6,90.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.65,93.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.7,96.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.75,100.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.8,104.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.85,110.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.9,116.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.95,127.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.975,136.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.99,148.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.01,3.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.025,4.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.05,4.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.1,5.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.15,6.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.2,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.25,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.3,8.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.35,8.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.4,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.45,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.5,10.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.55,10.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.6,11.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.65,11.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.7,12.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.75,12.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.8,13.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.85,14.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.9,15.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.95,16.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.975,18.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.99,19.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.01,25.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.025,28.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.05,32.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.1,36.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.15,39.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.2,41.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.25,44.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.3,46.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.35,48.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.4,50.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.45,52.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.5,53.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.55,55.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.6,57.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.65,60.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.7,62.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.75,64.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.8,67.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.85,71.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.9,75.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.95,82.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.975,89.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.99,97.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.01,28.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.025,31.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.05,34.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.1,37.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.15,40.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.2,42.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.25,43.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.3,45.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.35,47.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.4,48.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.45,50.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.5,51.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.55,53.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.6,54.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.65,56.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.7,57.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.75,59.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.8,61.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.85,64.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.9,67.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.95,72.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.975,77.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.99,82.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.01,152.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.025,165.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.05,177.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.1,191.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.15,201.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.2,210.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.25,217.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.3,224.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.35,230.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.4,236.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.45,242.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.5,248.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.55,254.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.6,260.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.65,266.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.7,273.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.75,281.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.8,290.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.85,300.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.9,313.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.95,341.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.975,365.0
2026-02-28,wk inc covid hosp,0,2026-02-28,06,quantile,0.99,396.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.01,53.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.025,56.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.05,60.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.1,63.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.15,67.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.2,70.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.25,73.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.3,76.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.35,78.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.4,81.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.45,83.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.5,86.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.55,88.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.6,91.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.65,94.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.7,97.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.75,100.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.8,103.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.85,108.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.9,113.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.95,122.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.975,130.0
2026-02-28,wk inc covid hosp,0,2026-02-28,08,quantile,0.99,139.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.01,32.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.025,35.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.05,38.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.1,42.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.15,45.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.2,47.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.25,49.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.3,51.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.35,53.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.4,54.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.45,56.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.5,57.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.55,59.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.6,61.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.65,62.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.7,65.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.75,67.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.8,70.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.85,74.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.9,79.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.95,86.0
2026-02-28,wk inc covid hosp,0,2026-02-28,09,quantile,0.975,93.0
