reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.01,65.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.025,67.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.05,69.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.1,72.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.15,74.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.2,76.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.25,81.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.3,83.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.35,84.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.4,85.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.45,86.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.5,87.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.55,88.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.6,90.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.65,91.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.7,95.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.75,96.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.8,99.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.85,101.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.9,104.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.95,111.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.975,117.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.99,125.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.01,5.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.025,6.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.05,6.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.1,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.15,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.2,8.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.25,8.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.3,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.35,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.4,10.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.45,10.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.5,10.0
