reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.01,63.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.025,68.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.05,72.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.1,77.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.15,79.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.2,82.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.25,84.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.3,86.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.35,88.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.4,90.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.45,92.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.5,94.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.55,96.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.6,98.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.65,101.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.7,103.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.75,106.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.8,109.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.85,114.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.9,119.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.95,129.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.975,139.0
2026-02-28,wk inc covid hosp,0,2026-02-28,01,quantile,0.99,148.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.01,2.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.025,3.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.05,4.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.1,5.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.15,5.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.2,6.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.25,6.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.3,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.35,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.4,7.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.45,8.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.5,8.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.55,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.6,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.65,9.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.7,10.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.75,10.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.8,11.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.85,12.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.9,13.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.95,14.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.975,16.0
2026-02-28,wk inc covid hosp,0,2026-02-28,02,quantile,0.99,17.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.01,39.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.025,43.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.05,45.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.1,49.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.15,51.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.2,53.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.25,55.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.3,57.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.35,58.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.4,59.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.45,61.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.5,62.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.55,64.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.6,65.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.65,67.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.7,69.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.75,71.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.8,73.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.85,76.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.9,80.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.95,87.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.975,93.0
2026-02-28,wk inc covid hosp,0,2026-02-28,04,quantile,0.99,101.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.01,30.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.025,33.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.05,35.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.1,38.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.15,40.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.2,42.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.25,43.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.3,45.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.35,46.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.4,47.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.45,48.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.5,49.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.55,51.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.6,52.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.65,53.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.7,55.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.75,57.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.8,59.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.85,61.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.9,65.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.95,70.0
2026-02-28,wk inc covid hosp,0,2026-02-28,05,quantile,0.975,75.0
