reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.01,97.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.025,120.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.05,138.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.1,170.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.15,191.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.2,210.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.25,224.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.3,243.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.35,259.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.4,277.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.45,292.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.5,308.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.55,328.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.6,351.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.65,375.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.7,408.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.75,435.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.8,470.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.85,514.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.9,570.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.95,650.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.975,734.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.99,814.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.01,2.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.025,2.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.05,3.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.1,5.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.15,6.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.2,7.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.25,8.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.3,8.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.35,10.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.4,10.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.45,12.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.5,13.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.55,14.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.6,15.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.65,16.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.7,17.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.75,19.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.8,21.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.85,24.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.9,27.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.95,32.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.975,36.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.99,45.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.01,147.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.025,168.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.05,195.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.1,220.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.15,234.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.2,248.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.25,259.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.3,271.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.35,279.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.4,296.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.45,307.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.5,317.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.55,330.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.6,344.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.65,359.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.7,372.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.75,389.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.8,408.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.85,436.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.9,467.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.95,524.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.975,556.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.99,611.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.01,41.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.025,49.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.05,58.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.1,74.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.15,85.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.2,96.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.25,105.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.3,112.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.35,120.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.4,130.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.45,139.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.5,150.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.55,163.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.6,174.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.65,187.0
