reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.01,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.025,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.05,26.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.1,65.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.15,91.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.2,111.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.25,129.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.3,144.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.35,159.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.4,173.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.45,187.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.5,201.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.55,216.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.6,231.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.65,247.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.7,265.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.75,286.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.8,311.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.85,343.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.9,390.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.95,478.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.975,582.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.99,756.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.01,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.025,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.05,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.1,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.15,0.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.2,1.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.25,2.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.3,4.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.35,5.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.4,6.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.45,7.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.5,8.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.55,10.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.6,11.0
