reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.01,136.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.025,153.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.05,169.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.1,186.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.15,200.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.2,211.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.25,221.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.3,230.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.35,238.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.4,247.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.45,255.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.5,263.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.55,272.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.6,280.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.65,289.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.7,299.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.75,310.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.8,322.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.85,338.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.9,357.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.95,388.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.975,416.0
2026-02-28,wk inc flu hosp,0,2026-02-28,01,quantile,0.99,448.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.01,2.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.025,3.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.05,3.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.1,4.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.15,5.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.2,5.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.25,6.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.3,6.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.35,7.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.4,7.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.45,7.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.5,8.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.55,8.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.6,9.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.65,9.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.7,9.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.75,10.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.8,10.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.85,11.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.9,12.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.95,13.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.975,15.0
2026-02-28,wk inc flu hosp,0,2026-02-28,02,quantile,0.99,16.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.01,169.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.025,191.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.05,210.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.1,234.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.15,251.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.2,265.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.25,277.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.3,288.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.35,299.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.4,309.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.45,319.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.5,330.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.55,340.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.6,351.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.65,362.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.7,375.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.75,388.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.8,404.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.85,424.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.9,447.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.95,488.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.975,522.0
2026-02-28,wk inc flu hosp,0,2026-02-28,04,quantile,0.99,562.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.01,86.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.025,95.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.05,104.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.1,116.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.15,125.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.2,132.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.25,138.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.3,143.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.35,149.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.4,154.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.45,159.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.5,164.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.55,169.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.6,174.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.65,180.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.7,186.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.75,193.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.8,201.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.85,210.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.9,222.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.95,241.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.975,257.0
2026-02-28,wk inc flu hosp,0,2026-02-28,05,quantile,0.99,278.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.01,699.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.025,782.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.05,855.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.1,950.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.15,1020.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.2,1075.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.25,1123.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.3,1168.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.35,1212.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.4,1255.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.45,1297.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.5,1340.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.55,1381.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.6,1425.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.65,1475.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.7,1525.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.75,1582.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.8,1643.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.85,1721.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.9,1820.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.95,1974.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.975,2116.0
2026-02-28,wk inc flu hosp,0,2026-02-28,06,quantile,0.99,2276.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.01,57.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.025,64.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.05,70.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.1,78.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.15,84.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.2,89.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.25,93.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.3,97.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.35,100.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.4,104.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.45,107.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.5,111.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.55,114.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.6,118.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.65,122.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.7,126.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.75,131.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.8,136.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.85,142.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.9,150.0
2026-02-28,wk inc flu hosp,0,2026-02-28,08,quantile,0.95,163.0
