reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.01,24.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.025,37.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.05,45.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.1,52.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.15,55.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.2,58.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.25,60.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.3,63.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.35,65.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.4,67.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.45,71.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.5,71.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.55,72.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.6,72.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.65,77.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.7,88.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.75,88.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.8,88.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.85,88.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.9,91.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.95,92.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.975,102.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,01,quantile,0.99,102.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,02,quantile,0.01,2.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,02,quantile,0.025,3.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,02,quantile,0.05,4.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,02,quantile,0.1,4.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,02,quantile,0.15,5.0
2026-02-28,wk inc rsv hosp,0,2026-02-28,02,quantile,0.2,6.0
