"model_id","reference_date","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",2026-02-14,1.43724253557278,626.704456521739,1.84101554710216,1150.25,0.5,1,4
"CEPH-Rtrend_covid",2026-02-21,1.02361741079423,412.633333333333,0.757304798592066,390.666666666667,1,1,4
"CEPH-Rtrend_covid",2026-02-28,0.946050987488544,392.379565217391,0.810668670172803,539.5,1,1,4
"CEPH-Rtrend_covid",2026-03-07,1.18862926992454,477.676086956522,1.18733153638814,881,0,1,4
"CFA-EpiAutoGP",2026-02-14,0.851895841587317,424.996334934783,0.82460742036982,654.902475,0.75,1,4
"CFA-EpiAutoGP",2026-02-21,0.648973019280026,276.082514492754,0.671449778277019,408.048266666666,0.666666666666667,1,4
"CFA-EpiAutoGP",2026-02-28,2.17164729303392,900.702004347826,2.09324913598798,1393.0573,0,0.5,4
"CFA-EpiAutoGP",2026-03-07,2.14834253028112,863.357380869565,1.67333450134771,1241.6142,0,0,4
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.583224090756928,218.89665,0.409908276205806,224.75,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.725547373310924,264.539092391304,0.990272922730009,447,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.347303668897504,144.046002173913,0.154770848985725,103,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.275581530548838,110.748330434783,0.283018867924528,210,0,1,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-02-14,2.72362344216728,1022.23494673913,3.0786436940396,1688,0,0.5,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-02-21,1.63529077526628,596.237204347826,2.27519080904635,1027,0,1,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-02-28,0.583566839528466,242.037380434783,0.330578512396694,220,0.5,1,2
"CFA_Pyrenew-Pyrenew_H_COVID",2026-03-07,0.313032291708287,125.798719565217,0.231132075471698,171.5,1,1,2
"CMU-TimeSeries",2026-02-14,1.11431504649073,502.244096154951,0.969616694627909,610.630532423827,1,1,4
"CMU-TimeSeries",2026-02-21,1.02303481992049,428.605297188258,1.0232557970695,610.025430810018,0.666666666666667,1,4
"CMU-TimeSeries",2026-02-28,1.12650857043442,467.225285874009,1.09635301392343,729.622930766041,0.5,1,4
"CMU-TimeSeries",2026-03-07,0.897834672228691,360.81406020846,0.82973053617174,615.660057839431,0,1,4
"CovidHub-baseline",2026-02-14,1,443.992740315854,1,621.25,0.75,1,4
"CovidHub-baseline",2026-02-21,1,415.132297617418,1,593.333333333333,0.666666666666667,1,4
"CovidHub-baseline",2026-02-28,1,414.755198616758,1,665.5,0.5,1,4
"CovidHub-baseline",2026-03-07,1,401.871381635121,1,742,0,1,4
"CovidHub-ensemble",2026-02-14,0.902448764562137,389.335776066873,0.969415810839215,586.425304334219,0.75,1,4
"CovidHub-ensemble",2026-02-21,0.903943755896724,363.447641337188,0.874098198841117,482.540725883068,1,1,4
"CovidHub-ensemble",2026-02-28,1.02822100935604,426.460008957386,0.929176291173258,618.366821775803,0.5,1,4
"CovidHub-ensemble",2026-03-07,0.972935265811271,390.994839513109,0.839396386249554,622.832118597169,0,1,4
"NEU_ISI-AdaptiveEnsemble",2026-02-14,1.63785847222108,830.257826086956,1.91342976886537,1416.25,0.25,1,4
"NEU_ISI-AdaptiveEnsemble",2026-02-28,1.6190739743966,671.519347826087,1.72201352366642,1146,0,1,4
"OHT_JHU-nbxd",2026-02-14,1.79026381692166,769.183070652174,2.30148058271276,1434.2325,0,1,4
"OHT_JHU-nbxd",2026-02-21,1.62704913141527,631.282631884058,2.18129353372703,1156.81666666667,0.333333333333333,1,4
"OHT_JHU-nbxd",2026-02-28,0.73299177162816,304.012147826087,0.729526671675432,485.5,0.5,1,4
"OHT_JHU-nbxd",2026-03-07,0.551847013431994,221.77152173913,0.452304582210242,335.61,1,1,4
"UGA_flucast-INFLAenza",2026-02-14,1.59784099655044,669.462186956522,1.84951847217374,1129.625,0,1,4
"UGA_flucast-INFLAenza",2026-02-21,1.27277850557369,486.780891304348,1.56997903916059,820.333333333333,0.333333333333333,1,4
"UGA_flucast-INFLAenza",2026-02-28,0.427113041472721,177.147354347826,0.363636363636364,242,1,1,4
"UGA_flucast-INFLAenza",2026-03-07,0.344196226366446,138.322613043478,0.272237196765499,202,1,1,4
"UM-DeepOutbreak",2026-02-21,1.55907644072938,639.943608545544,1.37258495942904,837.153733333334,1,1,4
"UM-DeepOutbreak",2026-02-28,2.09915935573967,870.637255518031,2.61082956924618,1737.50707833333,0,1,4
"UM-DeepOutbreak",2026-03-07,2.21540264116126,890.306920281573,1.94909240790656,1446.22656666667,0,1,4
"UMass-ar6_pooled",2026-02-14,1.04796399825681,466.568777795607,1.17773675651328,740.727483532659,0.5,1,4
"UMass-ar6_pooled",2026-02-21,1.03825241480512,439.207608386459,1.17143870605323,700.755193461656,0.333333333333333,1,4
"UMass-ar6_pooled",2026-02-28,1.14628343765583,475.427014856046,1.18273038113406,787.107068644718,0.5,1,4
"UMass-ar6_pooled",2026-03-07,1.10228943030822,442.978576319754,1.11031645511668,823.854809696579,0,1,4
"UMass-gbqr",2026-02-14,1.59452491286234,647.812107850332,1.59893769696675,933.38063668344,0.25,1,4
"UMass-gbqr",2026-02-21,1.09571205393604,418.639071714812,1.36860920593572,714.79747211584,0.333333333333333,1,4
"UMass-gbqr",2026-02-28,0.70445013770996,292.174356781497,0.681856937413945,453.77579184898,0.5,1,4
"UMass-gbqr",2026-03-07,0.893409789843823,359.03582661088,0.839396386249554,622.832118597169,0,1,4
