"model_id","wis_scaled_relative_skill","wis","ae_median_scaled_relative_skill","ae_median","interval_coverage_50","interval_coverage_95","n"
"CEPH-Rtrend_covid",0.977199520146573,1223.3942804925,1.24687751252756,2050.85398230089,0.402654867256637,0.964601769911504,236
"CFA-EpiAutoGP",1.18836361033038,1377.62004883137,1.31860462641748,1987.81667027027,0.351351351351351,0.743243243243243,84
"CFA_Pyrenew-Pyrenew_HE_COVID",0.61297665894246,478.511785570951,0.707992066148898,729.225274725275,0.428571428571429,0.868131868131868,94
"CFA_Pyrenew-Pyrenew_H_COVID",1.21408123702966,967.167174389234,1.4186783105262,1526.32380952381,0.152380952380952,0.695238095238095,108
"CMU-TimeSeries",0.965354098555918,1207.22409731071,1.06258324622648,1792.77798850382,0.668141592920354,0.995575221238938,236
"CMU-climate_baseline",1.87781092269325,2418.78994863608,2.39679280872619,4173.6979812167,0.464285714285714,1,168
"CovidHub-baseline",1,1276.74570382354,1,1718.86956521739,0.517391304347826,0.852173913043478,240
"CovidHub-ensemble",0.74796326519657,938.611279732642,0.921632868516868,1533.55517402272,0.504347826086956,0.969565217391304,240
"Google_SAI-Ensemble",1.04243135901394,726.861095334542,1.05228803523353,919.484390132142,0.1875,0.46875,32
"JHU_CSSE-CSSE_Ensemble",0.824597723518962,1058.92301846238,0.952225393385716,1624.44091365688,0.703125,1,64
"MOBS-GLEAM_COVID",1.46928841457502,1637.08502682159,1.70388400302457,2463.23219827586,0.155172413793103,0.689655172413793,116
"Metaculus-cp",1.00832015099082,1394.98779634133,0.974814144352657,1831.3980451512,0.65,1,40
"NEU_ISI-AdaptiveEnsemble",0.791574547901251,1084.07831584208,0.940402034198375,1734.70114942529,0.316091954022989,0.844827586206897,176
"OHT_JHU-nbxd",0.865106567919663,1068.49372581258,1.02543401976814,1683.29830097087,0.480582524271845,0.922330097087379,216
"UGA_flucast-INFLAenza",0.619422355294651,621.766307333517,0.74535583216941,1004.14240506329,0.379746835443038,0.924050632911392,168
"UM-DeepOutbreak",1.23762741736051,1527.98300984148,1.25309610541419,2066.64526833131,0.668831168831169,0.935064935064935,164
"UMass-ar6_pooled",0.823159931482914,1026.18561985834,0.938136039915705,1561.56682487753,0.507462686567164,0.890547263681592,211
"UMass-gbqr",1.03515124486275,1286.16579499992,1.17564736616604,1914.94855425549,0.26865671641791,0.860696517412935,211
