"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0,8.1347189913369e-05,3.12720240498404e-05,1,1,5
"CFA_Pyrenew-Pyrenew_E_COVID",1,0.000356524780084756,0.000397038265036765,0.666666666666667,1,5
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.000114724838298036,0.000105045396486207,1,1,5
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.000445711285542562,0.000617598966843935,0.666666666666667,1,5
"CMU-TimeSeries",0,0.00025079834458045,0.000385787405947573,1,1,5
"CMU-TimeSeries",1,0.00045335382325654,0.000718602810928727,0.666666666666667,1,5
"CMU-TimeSeries",2,0.000528827087245375,0.000619963977728883,1,1,5
"CMU-TimeSeries",3,0.000614104889671293,0.000771792641733486,1,1,5
"CovidHub-baseline",0,0.000370869565217391,0.000425,1,1,5
"CovidHub-baseline",1,0.000626441155150682,0.000733333333333333,1,1,5
"CovidHub-baseline",2,0.000778600007271812,0.00095,1,1,5
"CovidHub-baseline",3,0.000933415361605789,0.0013,1,1,5
"CovidHub-ensemble",0,0.000230113199861392,0.000209676449201609,1,1,5
"CovidHub-ensemble",1,0.000343749832337755,0.000425645424232506,1,1,5
"CovidHub-ensemble",2,0.000398479116333993,0.000313252144021222,1,1,5
"CovidHub-ensemble",3,0.000452273674710082,0.000429590962946837,1,1,5
"UGA_flucast-INFLAenza",0,0.000278398712549843,0.000262510355306769,1,1,5
"UGA_flucast-INFLAenza",1,0.000319852990612514,0.000296565532427813,1,1,5
"UGA_flucast-INFLAenza",2,0.0003104490276039,7.1780725002257e-05,1,1,5
"UGA_flucast-INFLAenza",3,0.000321591343275206,8.73892841601869e-05,1,1,5
