"model_id","reference_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000321154981591311,0.000541840454635187,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,0.000185625302614604,7.68438392886868e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.000157938072829768,1.43444492914755e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,6.55263858363793e-05,5.01454048789599e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.000402257409013394,0.000641418740961567,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.000240258503372482,0.000139790365896673,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.00020730514064719,0.000284907137401889,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,9.63911037536968e-05,0.000140745997956377,1,1,2
"CMU-TimeSeries",2026-02-14,0.000428979327086375,0.000521040308891706,1,1,4
"CMU-TimeSeries",2026-02-21,0.000420409684511487,0.000635535966534353,1,1,4
"CMU-TimeSeries",2026-02-28,0.000443517366153914,0.000774434113823909,0.5,1,4
"CMU-TimeSeries",2026-03-07,0.000170832818065672,0.000171041290950023,1,1,4
"CovidHub-baseline",2026-02-14,0.000629074620321203,0.000625,1,1,4
"CovidHub-baseline",2026-02-21,0.000590350081261682,0.000733333333333333,1,1,4
"CovidHub-baseline",2026-02-28,0.000591273319135366,0.00095,1,1,4
"CovidHub-baseline",2026-03-07,0.000383521739130435,5e-04,1,1,4
"CovidHub-ensemble",2026-02-14,0.000361442577271206,0.000334218021487984,1,1,4
"CovidHub-ensemble",2026-02-21,0.000349550105321288,0.000467170457835141,1,1,4
"CovidHub-ensemble",2026-02-28,0.000265833894870882,0.000211160167802355,1,1,4
"CovidHub-ensemble",2026-03-07,0.000174845789046447,1.10335254311679e-05,1,1,4
"UGA_flucast-INFLAenza",2026-02-14,0.000327733082279568,0.000254206023806247,1,1,4
"UGA_flucast-INFLAenza",2026-02-28,0.000275192788861323,0.000211160167802355,1,1,4
"UGA_flucast-INFLAenza",2026-02-21,0.000313380156304291,0.00024017026547145,1,1,4
"UGA_flucast-INFLAenza",2026-03-07,0.00021418484476613,1.10335254311679e-05,1,1,4
