"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,8.4805777911533e-05,8.72066881100943e-06,1,1,1
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000186893108566348,9.84509799925653e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.00032134188972907,0.000523016515671116,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,0.000146843662702687,3.22736155856426e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.000114185519125975,6.55593529688258e-06,1,1,1
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.000241946233896563,0.000179769709455724,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.000408857793995491,0.000691343944892367,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.000190119817454872,0.000262097621241785,1,1,2
"CMU-TimeSeries",2026-02-14,0.00029133075289383,0.000504955560130305,1,1,1
"CMU-TimeSeries",2026-02-21,0.000328554000169491,0.000523825520732051,1,1,2
"CMU-TimeSeries",2026-02-28,0.000350450672429601,0.000351118900444372,1,1,3
"CMU-TimeSeries",2026-03-07,0.000508805785432962,0.00077617883771005,0.75,1,4
"CovidHub-baseline",2026-02-14,0.000342913043478261,3e-04,1,1,1
"CovidHub-baseline",2026-02-21,0.000438985787716573,3e-04,1,1,2
"CovidHub-baseline",2026-02-28,0.000564963569679175,6e-04,1,1,3
"CovidHub-baseline",2026-03-07,0.000734410443630523,0.0011,1,1,4
"CovidHub-ensemble",2026-02-14,0.000252576578700019,0.000298296043953855,1,1,1
"CovidHub-ensemble",2026-02-21,0.000317831797242747,0.000478775114064999,1,1,2
"CovidHub-ensemble",2026-02-28,0.000318411812457814,0.000202417671575627,1,1,3
"CovidHub-ensemble",2026-03-07,0.000339364648319487,0.000327159508420626,1,1,4
"UGA_flucast-INFLAenza",2026-02-14,0.000288741145459436,0.000298296043953855,1,1,1
"UGA_flucast-INFLAenza",2026-02-21,0.000367496280787351,0.000584442926275319,1,1,2
"UGA_flucast-INFLAenza",2026-02-28,0.000287041943765577,8.0722342457502e-05,1,1,3
"UGA_flucast-INFLAenza",2026-03-07,0.000282695920547262,0.000115334957199554,1,1,4
