"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,0.000515214308880659,0.000807235579961802,0.5625,0.979166666666667,49
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000794774090630894,0.0012824754946098,0.521276595744681,0.98936170212766,96
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.000806771861191075,0.00125577022372291,0.563829787234043,0.946808510638298,96
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,0.000546027505306454,0.000819096809847417,0.645833333333333,0.989583333333333,98
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-14,0.000568945493248588,0.000887379182608274,0.530612244897959,0.959183673469388,50
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-21,0.000867766734279304,0.00137788725059734,0.568421052631579,1,97
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-02-28,0.000801588093566316,0.00123039619162891,0.56989247311828,0.967741935483871,95
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-03-07,0.000602780340064657,0.00090198104436903,0.604166666666667,0.989583333333333,98
"CMU-TimeSeries",2026-02-21,0.000679168371726443,0.00102858300522458,0.5,0.989795918367347,98
"CMU-TimeSeries",2026-02-28,0.000925305867062641,0.00142156353950889,0.421768707482993,0.931972789115646,147
"CMU-TimeSeries",2026-03-07,0.00105896327357898,0.00164850965565532,0.397959183673469,0.913265306122449,196
"CMU-TimeSeries",2026-02-14,0.000539779083310902,0.000869635258057222,0.551020408163265,0.979591836734694,49
"CovidHub-baseline",2026-02-14,0.000570713856521739,0.000712,0.9,1,50
"CovidHub-baseline",2026-02-21,0.000741315732788458,0.00097,0.85,1,100
"CovidHub-baseline",2026-02-28,0.00107776372773452,0.00154,0.66,0.993333333333333,150
"CovidHub-baseline",2026-03-07,0.00127605697579832,0.0019465,0.68,1,200
"CovidHub-ensemble",2026-02-14,0.000494677213301651,0.00077201492674524,0.653061224489796,0.979591836734694,50
"CovidHub-ensemble",2026-02-21,0.000625130540130981,0.00096249264427378,0.5,0.989795918367347,100
"CovidHub-ensemble",2026-02-28,0.000783295931921818,0.00120080102595745,0.517006802721088,0.959183673469388,149
"CovidHub-ensemble",2026-03-07,0.000829121403906736,0.00130111539118351,0.479591836734694,0.964285714285714,198
"UGA_flucast-INFLAenza",2026-02-14,0.000502985858549406,0.000758424951399833,0.673469387755102,0.979591836734694,49
"UGA_flucast-INFLAenza",2026-02-21,0.000593303392047836,0.000901300518318266,0.520408163265306,0.979591836734694,98
"UGA_flucast-INFLAenza",2026-02-28,0.000706230623076858,0.00110740605451744,0.557823129251701,0.959183673469388,147
"UGA_flucast-INFLAenza",2026-03-07,0.000760346052166912,0.00119661464001836,0.494897959183673,0.974489795918367,196
