"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",0,0.000313995690312996,0.000429129482974766,0.451612903225806,0.806451612903226,32
"CFA_Pyrenew-Pyrenew_E_COVID",1,0.000793186548064538,0.00113443345157468,0.5,0.9,32
"CFA_Pyrenew-Pyrenew_HE_COVID",0,0.000306047599332257,0.000433643230618723,0.433333333333333,0.833333333333333,31
"CFA_Pyrenew-Pyrenew_HE_COVID",1,0.000824952074453297,0.0011810934849185,0.517241379310345,0.862068965517241,31
"CMU-TimeSeries",0,0.00166585441674958,0.00182447133408245,0.481481481481481,0.925925925925926,28
"CMU-TimeSeries",1,0.00208962997252355,0.00259177249127881,0.384615384615385,0.884615384615385,28
"CMU-TimeSeries",2,0.00243979898815848,0.00325721253329682,0.32,0.92,28
"CMU-TimeSeries",3,0.00281268432485798,0.00397421235270575,0.291666666666667,0.791666666666667,28
"CovidHub-baseline",0,0.000698139276641492,0.00107586206896552,0.517241379310345,1,30
"CovidHub-baseline",1,0.00131898473197348,0.00210357142857143,0.5,1,30
"CovidHub-baseline",2,0.00186505753969303,0.00302592592592593,0.481481481481481,1,30
"CovidHub-baseline",3,0.00234202726406813,0.00376538461538462,0.423076923076923,0.884615384615385,30
"CovidHub-ensemble",0,0.000241173102105476,0.000202824886498835,1,1,9
"CovidHub-ensemble",1,0.000343682985044732,0.000331590385664005,1,1,9
"CovidHub-ensemble",2,0.000406190444029165,0.000214051533611344,1,1,9
"CovidHub-ensemble",3,0.000478911199428119,0.000297333428801117,1,1,9
"UGA_flucast-INFLAenza",0,0.000415435959182406,0.000542896586545031,0.769230769230769,1,27
"UGA_flucast-INFLAenza",1,0.000626510340100237,0.000936806202257767,0.76,1,27
"UGA_flucast-INFLAenza",2,0.000808933410940435,0.00120199133530749,0.666666666666667,1,27
"UGA_flucast-INFLAenza",3,0.000969049155180629,0.00145106859468021,0.652173913043478,0.956521739130435,27
